,Ward,Number of Contributions,Average Contribution,Sum of Contributions,Median Contribution,Total Count of Business Licenses,LICENSE TERM START DATE,Affiliation,Animal Care License,Bicycle Messenger Service,Caterer's Liquor License,Children's Services Facility License,Commercial Garage,Commercial Passenger Vessel,Consumption on Premises - Incidental Activity,Emerging Business,Explosives,Filling Station,Food - Shared Kitchen,Food - Shared Kitchen - Supplemental,Heliports,Late Hour,License Manager,Limited Business License,Manufacturing Establishments,Mobile Food License,Motor Vehicle Services License,Music and Dance,Navy Pier Kiosk License,Not-For-Profit Club,Outdoor Patio,Package Goods,Pawnbroker,Peddler License,Pharmaceutical Representative,Pop-Up Establishment Host - Tier II,Pop-Up Establishment Host - Tier III,Pop-Up Retail User,Private Booting Registration,Public Place of Amusement,Raffles,Regulated Business License,Retail Food Establishment,Secondhand Dealer,Shared Housing Unit Operator,Shared Kitchen User,Special Event Food,Special Event Liquor,Tavern,Taxicab Two-Way Dispatch Service License,Tobacco,Valet Parking Operator,Weapons Dealer,Wholesale Food Establishment,Wrigley Field,Total Count of Crimes,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Total Count of Microlenders,White2016,Black2016,Asian2016,Latino2016,Other2016
0,1,5.0,300.0,1500.0,250.0,1876,1876,0.0,22.0,1.0,15.0,27.0,0.0,0.0,174.0,0.0,1.0,8.0,1.0,3.0,0.0,9.0,0.0,525.0,9.0,2.0,24.0,4.0,0.0,0.0,46.0,47.0,3.0,17.0,28.0,0.0,0.0,1.0,0.0,56.0,10.0,217.0,457.0,7.0,6.0,26.0,0.0,4.0,56.0,0.0,64.0,3.0,0.0,3.0,0.0,9057,13.0,582.0,1215.0,444.0,2.0,15.0,926.0,37.0,200.0,884.0,1.0,14.0,0.0,12.0,7.0,2.0,17.0,338.0,97.0,0.0,4.0,46.0,0.0,404.0,5.0,1.0,38.0,0.0,330.0,43.0,13.0,3264.0,103.0,11,0.5038638622527135,0.05896215814418562,0.0369047735790404,0.37660811947283673,0.0236610865512237
1,2,26.0,707.6923076923077,18400.0,500.0,2299,2299,0.0,30.0,0.0,6.0,22.0,56.0,0.0,228.0,0.0,0.0,7.0,1.0,1.0,1.0,14.0,1.0,735.0,7.0,1.0,19.0,6.0,0.0,2.0,59.0,60.0,0.0,16.0,33.0,1.0,0.0,0.0,0.0,51.0,15.0,274.0,463.0,6.0,7.0,17.0,0.0,4.0,44.0,0.0,70.0,40.0,0.0,2.0,0.0,9345,5.0,491.0,1000.0,383.0,2.0,16.0,614.0,49.0,274.0,1259.0,0.0,4.0,1.0,15.0,10.0,3.0,14.0,340.0,71.0,0.0,2.0,21.0,0.0,306.0,1.0,0.0,38.0,0.0,382.0,55.0,10.0,3897.0,82.0,9,0.7470494442348614,0.05863952135668856,0.06935088563513706,0.10164709229339287,0.023313056479920154
2,3,12.0,750.0,9000.0,625.0,1165,1165,0.0,5.0,0.0,6.0,27.0,13.0,1.0,58.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,340.0,6.0,0.0,18.0,0.0,0.0,0.0,16.0,18.0,2.0,41.0,18.0,0.0,0.0,1.0,0.0,24.0,7.0,237.0,215.0,1.0,3.0,17.0,0.0,0.0,15.0,0.0,49.0,7.0,0.0,3.0,0.0,15238,32.0,1444.0,3259.0,372.0,5.0,24.0,1603.0,62.0,355.0,1280.0,2.0,41.0,1.0,89.0,6.0,13.0,14.0,735.0,578.0,0.0,8.0,116.0,3.0,1163.0,20.0,2.0,109.0,0.0,511.0,67.0,16.0,2835.0,473.0,7,0.22598788089686958,0.5980721894572106,0.11178575807373813,0.040704080547014444,0.023450091025167322
3,4,9.0,538.8888888888889,4850.0,500.0,1358,1358,0.0,10.0,0.0,14.0,12.0,51.0,1.0,110.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,376.0,1.0,2.0,2.0,1.0,0.0,1.0,26.0,39.0,1.0,26.0,24.0,0.0,0.0,0.0,0.0,29.0,10.0,232.0,299.0,3.0,1.0,21.0,0.0,1.0,11.0,0.0,42.0,5.0,0.0,0.0,0.0,13891,9.0,1223.0,2553.0,349.0,4.0,24.0,1269.0,56.0,416.0,1257.0,0.0,16.0,0.0,45.0,9.0,7.0,2.0,572.0,244.0,0.0,5.0,98.0,0.0,867.0,0.0,0.0,111.0,0.0,563.0,59.0,21.0,3836.0,276.0,11,0.2416910096619874,0.5996672369297623,0.09133281753625846,0.03878366862383638,0.02852526724815541
4,5,38.0,500.6578947368421,19025.0,500.0,756,756,0.0,3.0,0.0,4.0,16.0,15.0,1.0,34.0,0.0,5.0,8.0,0.0,0.0,2.0,1.0,0.0,194.0,2.0,0.0,5.0,2.0,0.0,1.0,9.0,13.0,1.0,29.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,158.0,184.0,2.0,0.0,12.0,0.0,0.0,7.0,0.0,29.0,0.0,0.0,1.0,0.0,12597,13.0,1141.0,2633.0,603.0,5.0,29.0,1507.0,73.0,223.0,902.0,1.0,36.0,1.0,49.0,8.0,8.0,0.0,529.0,267.0,1.0,5.0,113.0,0.0,884.0,0.0,0.0,57.0,0.0,508.0,62.0,24.0,2523.0,392.0,7,0.23684793882004665,0.6172251855952041,0.07432822748574246,0.04559454915127236,0.026004098947734304
5,6,42.0,445.23809523809524,18700.0,500.0,758,758,0.0,1.0,0.0,0.0,24.0,2.0,0.0,1.0,0.0,0.0,18.0,1.0,2.0,0.0,0.0,0.0,247.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,17.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,110.0,174.0,2.0,0.0,6.0,0.0,0.0,16.0,0.0,64.0,0.0,0.0,5.0,0.0,20584,52.0,2103.0,4859.0,766.0,22.0,42.0,2556.0,68.0,376.0,903.0,2.0,78.0,1.0,165.0,7.0,14.0,13.0,968.0,936.0,0.0,1.0,243.0,0.0,1457.0,37.0,2.0,100.0,0.0,744.0,68.0,16.0,2786.0,1199.0,10,0.010789661839552827,0.9620210073272748,0.000623298631716594,0.014433687205015207,0.012132344996440496
6,7,2.0,275.0,550.0,275.0,444,444,0.0,1.0,0.0,0.0,20.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,126.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,85.0,2.0,0.0,9.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,15926,29.0,1680.0,3805.0,730.0,10.0,42.0,2036.0,62.0,314.0,864.0,2.0,63.0,0.0,145.0,6.0,18.0,2.0,612.0,522.0,0.0,5.0,203.0,0.0,1213.0,12.0,0.0,55.0,0.0,541.0,52.0,11.0,2335.0,557.0,7,0.026468522039801816,0.9108862876896375,0.0009272423698792589,0.046373465957925505,0.015344481942755742
7,8,9.0,380.55555555555554,3425.0,500.0,813,813,0.0,4.0,0.0,1.0,31.0,2.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,321.0,12.0,0.0,27.0,1.0,0.0,1.0,0.0,13.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,141.0,140.0,2.0,0.0,12.0,0.0,0.0,8.0,0.0,39.0,0.0,0.0,3.0,0.0,17338,40.0,1747.0,3789.0,891.0,15.0,30.0,2102.0,62.0,330.0,1036.0,8.0,74.0,0.0,120.0,4.0,16.0,7.0,794.0,643.0,0.0,3.0,188.0,0.0,1292.0,2.0,1.0,78.0,0.0,628.0,81.0,22.0,2549.0,786.0,9,0.011296463987319793,0.9660932669021499,0.0005360024335947702,0.011697507921618494,0.01037675875531698
8,9,12.0,775.0,9300.0,500.0,549,549,0.0,3.0,0.0,1.0,14.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,156.0,14.0,0.0,11.0,0.0,0.0,0.0,2.0,10.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,109.0,105.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,34.0,1.0,0.0,10.0,0.0,16413,42.0,1651.0,3531.0,670.0,14.0,29.0,2257.0,47.0,394.0,940.0,6.0,77.0,0.0,135.0,7.0,9.0,4.0,662.0,428.0,0.0,4.0,186.0,1.0,1494.0,62.0,0.0,44.0,0.0,488.0,68.0,17.0,2245.0,901.0,9,0.02191012166619137,0.9233956071609807,0.001415573652375558,0.042776943410809246,0.010501754109643022
9,10,19.0,564.2105263157895,10720.0,500.0,663,663,0.0,3.0,0.0,1.0,16.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,210.0,21.0,0.0,47.0,0.0,0.0,4.0,1.0,19.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,108.0,142.0,0.0,0.0,4.0,0.0,0.0,18.0,0.0,23.0,0.0,0.0,8.0,0.0,8132,32.0,856.0,1791.0,253.0,7.0,13.0,1072.0,28.0,199.0,427.0,2.0,28.0,1.0,58.0,11.0,6.0,3.0,329.0,244.0,0.0,0.0,142.0,0.0,656.0,0.0,0.0,42.0,0.0,182.0,41.0,14.0,1317.0,378.0,2,0.18407252568050736,0.17592385127677043,0.0014997249858668762,0.6358981353348979,0.0026057627219573
