COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_AMOUNT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2480309330,04/01/2020,06/30/2020,23981,ALEXANDRA,,SIMS,9000.00,2014063902,VERIZON WIRELESS,12/01/2020
33708520,07/01/2020,09/30/2020,23981,ALEXANDRA,,SIMS,9000.00,2014063902,VERIZON WIRELESS,12/01/2020
1974147196,01/01/2020,03/31/2020,23981,ALEXANDRA,,SIMS,21000.00,2014063902,VERIZON WIRELESS,12/01/2020
4177681756,01/01/2020,03/31/2020,4273,JACK,L,PARRINO,122.00,783224423,ROSEMONT EXPOSITION SERVICES,12/03/2020
3976243266,07/01/2020,09/30/2020,4273,JACK,L,PARRINO,183.00,783224423,ROSEMONT EXPOSITION SERVICES,12/03/2020
518952891,01/01/2020,03/31/2020,4273,JACK,L,PARRINO,2740.50,2675185322,BJB PARTNERS,12/03/2020
2469395871,07/01/2020,09/30/2020,4316,BERNARD,I,CITRON,4389.00,3371960376,"BASILIOS CAPITAL I, LLC",12/03/2020
1246057368,10/01/2020,12/31/2020,16161,TERRY,D,CORNELL,7500.00,4044094489,CONCOURSE/BOINGO,12/05/2020
133247369,01/01/2020,03/31/2020,4160,EDWARD,J,KUS,1575.00,3827973984,DAC DEVELOPMENT CO.,12/08/2020
4041089023,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,3000.00,3844163383,AQUINNAH INVESTMENT TRUST,12/08/2020
3472865617,10/01/2019,12/31/2019,24628,LEDY,,VANKAVAGE,1000.00,2231550723,BEST FRIENDS ANIMAL SOCIETY,03/30/2020
1031820649,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,1000.00,3916123301,"BRESLOW, JEFFREY",12/08/2020
2147597218,07/01/2020,09/30/2020,4126,MICHAEL,A,ALVAREZ,4000.00,894763383,CHICAGO BOUTIQUE FITNESS ALLIANCE,12/08/2020
2972445854,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,500.00,2622572414,EAST WATER PLACE HOMEOWNER'S ASSOCIATION,12/08/2020
557879243,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,1500.00,2059078730,GRACE AND PEACE FELLOWSHIP,12/08/2020
3416747069,04/01/2020,06/30/2020,4126,MICHAEL,A,ALVAREZ,10000.00,894763383,CHICAGO BOUTIQUE FITNESS ALLIANCE,12/08/2020
3097975492,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,1000.00,2059078730,GRACE AND PEACE FELLOWSHIP,12/08/2020
2247419528,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2500.00,310896985,CHICAGO HOPE ACADEMY,12/08/2020
881597267,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,7500.00,1533955305,"EQUINIX, LLC",12/08/2020
2247419528,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2500.00,3965962314,"63RD MARYLAND, LLC",12/08/2020
2271463738,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,3500.00,1723220508,"DISTINCTIVE SCHOOLS, INC.",12/08/2020
