CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
2240204276,07/01/2020,09/30/2020,08/24/2020,ALDERMAN MARIA HADDEN,250.00,23981,ALEXANDRA,SIMS,12/01/2020
16680854,04/01/2020,06/30/2020,06/10/2020,24TH WARD ORGANIZATION - ALD. MICHAEL SCOTT,500.00,16501,REYAHD,KAZMI,12/10/2020
146026078,01/01/2020,03/31/2020,02/18/2020,ALD. GILBERT VILLEGAS,150.00,16501,REYAHD,KAZMI,12/10/2020
2237026963,10/01/2020,12/31/2020,12/18/2020,N/A,0.00,24286,TOM,FEENEY,12/18/2020
279679753,10/01/2020,12/31/2020,12/18/2020,N?A,0.00,24286,TOM,FEENEY,12/18/2020
752575625,10/01/2020,12/31/2020,10/19/2020,JASON ERVIN,500.00,18121,PETER,SKOSEY,12/18/2020
2237026963,10/01/2020,12/31/2020,12/18/2020,N/A,0.00,15683,KEVIN,SCHUYLER,12/18/2020
399395029,07/01/2020,09/30/2020,09/03/2020,VILLEGAS FOR COMMITTEEPERSON,1500.00,4126,MICHAEL,ALVAREZ,12/20/2020
2229231542,01/01/2020,03/31/2020,03/12/2020,FRIENDS OF MICHAEL RODRIGUEZ,1000.00,4126,MICHAEL,ALVAREZ,12/20/2020
779927836,07/01/2020,09/30/2020,09/16/2020,THE NEW 37TH WARD DEMOCRATIC ORG,1500.00,4126,MICHAEL,ALVAREZ,12/20/2020
3918356384,01/01/2020,03/31/2020,03/12/2020,NEIGHBORS FOR DANIEL LASPATA,1000.00,4126,MICHAEL,ALVAREZ,12/20/2020
1892676832,01/01/2020,03/31/2020,02/11/2020,FRIENDS OF GILBERT VILLEGAS,1500.00,4126,MICHAEL,ALVAREZ,12/20/2020
4231410080,01/01/2020,03/31/2020,03/12/2020,FRIENDS OF RODERICK SAWYER,1500.00,4126,MICHAEL,ALVAREZ,12/20/2020
691794209,07/01/2020,09/30/2020,09/18/2020,FRIENDS OF LESLIE A HAIRSTON,1500.00,4126,MICHAEL,ALVAREZ,12/20/2020
915701728,10/01/2020,12/31/2020,12/21/2020,ALDERMAN RODERICK SAWYER,250.00,20567,LINDSAY,ANDERSON,12/29/2020
2312452516,10/01/2020,12/31/2020,12/21/2020,ALDERMAN BYRON SIGCHO LOPEZ,500.00,20567,LINDSAY,ANDERSON,12/29/2020
2041740924,10/01/2020,12/31/2020,10/12/2020,CITIZENS FOR JASON C. ERVIN,500.00,21842,JAMES,CLAYBORNE,12/30/2020
2497198884,10/01/2020,12/31/2020,12/28/2020,DEBRA SILVERSTEIN,250.00,13761,MICHAEL,AXELROD,01/01/2021
2602547531,10/01/2020,12/31/2020,10/23/2020,LESLIE HAIRSTON,250.00,13761,MICHAEL,AXELROD,01/01/2021
3771673250,10/01/2020,12/31/2020,10/04/2020,TOM TUNNEY,250.00,13761,MICHAEL,AXELROD,01/01/2021
255801882,10/01/2020,12/31/2020,10/26/2020,8TH WARD DEMS,500.00,3836,JOHN,DOERRER,01/04/2021
1038047954,10/01/2020,12/31/2020,12/22/2020,11TH WARD DEMS,500.00,3836,JOHN,DOERRER,01/04/2021
2973012984,10/01/2020,12/31/2020,10/21/2020,19TH WARD DEMOCRATIC ORGANIZATION,1500.00,4126,MICHAEL,ALVAREZ,01/04/2021
2699904116,10/01/2020,12/31/2020,10/26/2020,FRIENDS OF RODRIGUEZ,250.00,3836,JOHN,DOERRER,01/04/2021
2811439625,10/01/2020,12/31/2020,11/02/2020,FRIENDS OF MICHELLE A. HARRIS,150.00,16501,REYAHD,KAZMI,01/04/2021
3364027434,10/01/2020,12/31/2020,09/14/2020,EMMA MITTS,250.00,17721,GREGORY,STEADMAN,01/04/2021
4267954271,10/01/2020,12/31/2020,10/20/2020,FRIENDS FOR DEBRA SILVERSTEIN,1000.00,4126,MICHAEL,ALVAREZ,01/04/2021
366274283,10/01/2020,12/31/2020,11/19/2020,ALDERMAN HOWARD BROOKINS,500.00,5701,PAUL,WILLIAMS,01/04/2021
505396953,10/01/2020,12/31/2020,11/03/2020,FRIENDS OF SUSAN SADLOWSKI GARZA,1500.00,4126,MICHAEL,ALVAREZ,01/04/2021
1344910608,10/01/2020,12/31/2020,10/26/2020,HOPKINS FOR CHICAGO,500.00,3836,JOHN,DOERRER,01/04/2021
3541763265,10/01/2020,12/31/2020,10/26/2020,FRIENDS OF NUGGENT,500.00,3836,JOHN,DOERRER,01/04/2021
469991393,10/01/2020,12/31/2020,11/20/2020,"COMMITTEE TO ELECT HOWARD B BROOKINS, JR",1500.00,4126,MICHAEL,ALVAREZ,01/04/2021
2437790987,10/01/2020,12/31/2020,12/18/2020,CITIZENS TO ELECT FELIX CARDONA JR,1000.00,4126,MICHAEL,ALVAREZ,01/04/2021
3729032267,10/01/2020,12/31/2020,10/06/2020,CITIZENS FOR ERVIN,100.00,16501,REYAHD,KAZMI,01/04/2021
358188935,10/01/2020,12/31/2020,10/30/2020,CITIZENS FOR ERVIN,1500.00,4126,MICHAEL,ALVAREZ,01/04/2021
1166796110,10/01/2020,12/31/2020,11/19/2020,ALDERMAN JASON ERVIN,500.00,5701,PAUL,WILLIAMS,01/04/2021
1020660462,10/01/2020,12/31/2020,10/26/2020,COMM TO ELECT BROOKINS,500.00,3836,JOHN,DOERRER,01/04/2021
1037651483,10/01/2020,12/31/2020,11/27/2020,24TH WARD DEMS,250.00,3836,JOHN,DOERRER,01/04/2021
834915247,10/01/2020,12/31/2020,12/22/2020,NEIBORS FOR ANDRE,250.00,3836,JOHN,DOERRER,01/04/2021
2908914177,10/01/2020,12/31/2020,12/22/2020,NEIGHBORS FOR LASPATA,250.00,3836,JOHN,DOERRER,01/04/2021
4249223066,10/01/2020,12/31/2020,12/10/2020,28TH WARD DEMOCRATIC ORGANIZATION,750.00,13881,CURT,BAILEY,01/04/2021
3923535146,10/01/2020,12/31/2020,12/31/2020,N/A,0.00,3820,MORGAN,BASSEY,01/05/2021
427820866,10/01/2020,12/31/2020,11/22/2020,MICHAEL SCOTT - 24TH WARD ALDERMAN,500.00,6781,WILLIE,SMITH,01/05/2021
3624875078,07/01/2020,09/30/2020,08/11/2020,GILBERT VILLEGAS,250.00,15661,LISSA,DRUSS,10/10/2020
1156932743,04/01/2020,06/30/2020,04/07/2020,MATT MARTIN,250.00,15661,LISSA,DRUSS,10/10/2020
442193060,10/01/2020,12/31/2020,12/09/2020,ANNA VALENCIA,250.00,11301,MARY KATE,DALY,01/08/2021
2313600534,10/01/2020,12/31/2020,10/27/2020,BRIAN HOPKINS,100.00,11301,MARY KATE,DALY,01/08/2021
2157331300,10/01/2020,12/31/2020,10/27/2020,ANNA VALENCIA,100.00,11301,MARY KATE,DALY,01/08/2021
256035992,10/01/2020,12/31/2020,10/07/2020,BRIAN HOPKINS,500.00,11463,SUSAN,HAYES GORDON,01/08/2021
358188935,10/01/2020,12/31/2020,10/30/2020,CITIZENS FOR ERVIN,1500.00,9621,MICHAEL,EZGUR,01/10/2021
