Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2020,3722058720,SERVICENOW,2225 LAWSON,,SANTA CLAIRE,CA,95054,UNITED STATES,4085018550,,02/28/2020,Y
2020,819960413,TANIUM INC,2100 POWELL STREET,SUITE 300,EMERYVILLE,CA,94608,UNITED STATES,510-704-0202,,07/28/2020,Y
2020,1422664373,VINCENZA RAINERI,4721 N WASHTENAW,1ST FLOOR,CHICAGO,IL,60625,UNITED STATES,7734999723,,12/01/2020,Y
2020,2529866782,DFS SERVICES LLC,2500 LAKE COOK RD,,RIVERWOODS,IL,60015,UNITED STATES,202-863-7277,,12/08/2020,Y
2020,2194380532,CAPITAL ONE FINANCIAL CORPORATION,1717 E. CARY STREET,,RICHMOND,VA,23223,UNITED STATES,804-787-1515,,03/03/2020,Y
2020,4196459327,EDUCATORS FOR EXCELLENCE,351 W. HUBBARD STREET,SUITE 805,CHICAGO,IL,60654,UNITED STATES,312-546-6673,,03/03/2020,Y
2020,2246993562,LOUIS LANG,4504 W. OAKTON,,SKOKIE,IL,60076,UNITED STATES,8473341131,,07/30/2020,Y
2020,1856781339,ATTORNEY OTIS WRIGHT,203 N LASALLE,SUITE 2100,CHICAGO,IL,60601,UNITED STATES,312925-8939,708672-7320,12/07/2020,Y
2020,417112294,ILLINOIS HOSPITAL ASSOCIATION,1151 EAST WARRENVILLE ROAD,PO BOX 3015,NAPERVILLE,IL,60566,UNITED STATES,217-541-1161,,10/12/2016,Y
2020,4047833126,MAKTUB DEVELOPMENT LLC,4554 S LAKE PARK AVE,,CHICAGO,IL,60653,UNITED STATES,773-339-4956,,10/31/2018,Y
2020,1159084318,MILLENNIUM ADVISORS,350 W. HUBBARD ST.,SUITE 607,CHICAGO,IL,60654,UNITED STATES,773-294-7828,,07/01/2020,Y
2020,3138888405,NEXT GENERATION STRATEGIES,4N752 WARE WOODS DRIVE,,SAINT CHARLES,IL,60175,UNITED STATES,3129727348,,03/10/2020,Y
2020,3391352848,"NEUTRON HOLDINGS, INC DBA LIMEBIKE",80 M STREET SE,,WASHINGTON,DC,20003,UNITED STATES,614-517-4543,,03/10/2020,Y
2020,3203262585,GOOGLE LLC AND ITS AFFILIATES,"C/O 28 LIBERTY SHIP WAY, SUITE 2815",,SAUSALITO,CA,94965,UNITED STATES,415903-2800,415610-7604,01/19/2018,Y
