COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_TO_OTHERS_EXPENSE,OFFICE_EXPENSE,PERSONAL_SUSTENANCE_EXPENSE,PUBLIC_EDUCATION_EXPENSE,OTHER_EXPENSES,TOTAL_EXPENSES,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2943416319,10/01/2020,12/31/2020,4333,CLINT,V,BROWN,0.00,28.00,0.00,0.00,28.00,28.00,2763434576,LOCAL 881UNITED FOOD AND COMMERCIAL WORKERS,12/18/2020
3535792169,10/01/2020,12/31/2020,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,2500.00,3617168447,ILLINOIS PETROLEUM COUNCIL,12/18/2020
2967906916,10/01/2020,12/31/2020,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),12/18/2020
4121576388,10/01/2020,12/31/2020,25106,KIN,,WONG,800.00,845.00,600.00,1200.00,845.00,9445.00,2484267210,YWCA METROPOLITAN CHICAGO,01/04/2021
9898559,10/01/2020,12/31/2020,24728,KENNETH,,SAWYER,4500.00,0.00,0.00,0.00,0.00,4500.00,1804508477,PUBLIC CONSULTING GROUP C/O MULTISTATE ASSOCIATES INC.,01/04/2021
329271000,10/01/2020,12/31/2020,25106,KIN,,WONG,0.00,0.00,0.00,0.00,0.00,1000.00,2781966865,YMCA OF METROPOLITAN CHICAGO,01/04/2021
869996726,10/01/2020,12/31/2020,16002,RICHARD,,VELAZQUEZ,75.00,0.00,0.00,0.00,0.00,75.00,1475389468,"WEST FIFTY FIFTH STREET TAVERN, INC",01/10/2021
37912920,10/01/2020,12/31/2020,24927,CHRISTOPHER,,JESSUP,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,01/11/2021
37912920,10/01/2020,12/31/2020,15501,DAVID,M.,GROSS,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,01/11/2021
37912920,10/01/2020,12/31/2020,24803,AMY,,BARRY,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,01/11/2021
2690738411,01/01/2020,03/31/2020,23701,JAMIE,,GRAVES,0.00,0.00,15.00,0.00,0.00,15.00,526112268,BP AMERICA,01/11/2021
37912920,10/01/2020,12/31/2020,13621,ARTHUR,,WILHELMI,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,01/11/2021
240239741,10/01/2020,12/31/2020,5127,PAT,,DOERR,40.00,200.00,150.00,60.00,200.00,550.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,01/15/2021
2882503266,10/01/2020,12/31/2020,20343,MICHAEL,,RUEMMLER,9750.00,0.00,0.00,0.00,0.00,9750.00,2666566692,"DOORDASH, INC.",01/18/2021
1655018972,10/01/2020,12/31/2020,9082,JOSEPH,E,PILEWSKI,0.00,75.00,0.00,0.00,75.00,75.00,3276416627,REFLECTION WINDOW COMPANY,01/18/2021
