GIFT_ID,PERIOD_START,PERIOD_END,GIFT,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,VALUE,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_LASTNAME,CREATED_DATE
1579542053,07/01/2019,09/30/2019,0,CHARLES,SACKLEY,SVP SALES,0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,21201,CHARLES,SACKLEY,03/03/2020
2384659718,10/01/2019,12/31/2019,0,CHARLES,SACKLEY,SVP SALES,0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,21201,CHARLES,SACKLEY,03/03/2020
605159316,04/01/2019,06/30/2019,0,CHARLES,SACKLEY,SVP SALES,0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,21201,CHARLES,SACKLEY,03/03/2020
3449892652,10/01/2020,12/31/2020,NONE,DAN,CASEY,"DEPUTY DIRECTOR PSIT, OEMC",0.00,EMERGENCY MANAGEMENT & COMMUNICATIONS,20210,KEN,LUKOWSKI,12/04/2020
694447715,10/01/2020,12/31/2020,N/A,N/A,N/A,N/A,0.00,"ASSETS, INFORMATION & SERVICES (AIS)",24286,TOM,FEENEY,12/18/2020
694447715,10/01/2020,12/31/2020,N/A,N/A,N/A,N/A,0.00,FINANCE,15683,KEVIN,SCHUYLER,12/18/2020
694447715,10/01/2020,12/31/2020,N/A,N/A,N/A,N/A,0.00,311 CITY SERVICES,24286,TOM,FEENEY,12/18/2020
694447715,10/01/2020,12/31/2020,N/A,N/A,N/A,N/A,0.00,FINANCE,3820,MORGAN,BASSEY,01/05/2021
2881682408,07/01/2020,09/30/2020,0,PAVOL,REHUS,VP OF OPERATIONS,0.00,TRANSPORTATION,20526,PAVOL,REHUS,01/08/2021
1100623310,10/01/2020,12/31/2020,SOUTHSIDE MAGNOLIA GIFT PACK,LORI,LIGHTFOOT,MAYOR,16.00,MAYORS OFFICE,25028,ALEXI,MADON,01/18/2021
3837281390,10/01/2020,12/31/2020,NONE,NONE,NONE,NONE,0.00,MAYORS OFFICE,24825,BOB,ENKEMA,01/19/2021
2849878523,10/01/2020,12/31/2020,N/A,LEWIS,POWELL,ATTORNEY,0.00,PLANNING AND DEVELOPMENT,3955,LEWIS,POWELL,01/19/2021
6331332,10/01/2020,12/31/2020,FRAMED PHOTO,LORI,LIGHTFOOT,MAYOR,45.00,MAYORS OFFICE,18041,JILL,WOLOWITZ,01/20/2021
2167628239,10/01/2020,12/31/2020,FRAMED PHOTO,SAMIR,MAYEKAR,DEPUTY MAYOR,45.00,MAYORS OFFICE,18041,JILL,WOLOWITZ,01/20/2021
3821325995,10/01/2020,12/31/2020,0,BRYON,SIGCHO-LOPEZ,ALDERMAN,0.00,CITY COUNCIL / ALDERMEN,24700,PAUL,LUU,01/23/2021
250194839,10/01/2020,12/31/2020,NONE,GIVEN,NONE,NO ONE,0.00,ZONING COMMITTEE,4125,KAREEM,MUSAWWIR,01/28/2021
1345053836,10/01/2020,12/31/2020,00000,N/A,N/A,N/A,0.00,CITY CLERK,24887,COY,PUGH,02/05/2021
3755926915,01/01/2021,03/31/2021,0,BRANDON,MCGHEE,MR,0.00,CITY COUNCIL / ALDERMEN,24621,BRANDON,MCGHEE,02/18/2021
2287018838,07/01/2012,09/30/2012,FLOWERS,RACHELLE,HENDELE,PROGRAM MANAGER,50.00,INNOVATION & TECHNOLOGY,4210,JOSEPH,KYLE,10/10/2012
2734870763,10/01/2013,12/31/2013,LUNCH,WILL,BURNS,ALDERMAN,33.85,CITY COUNCIL / ALDERMEN,3739,COURTNEY,NOTTAGE,01/07/2014
3564205292,07/01/2014,09/30/2014,DINNER,MICHAEL,ZALEWSKI,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4301,DANIEL,LYNCH,10/17/2014
3648355563,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,TOM,BYRNE,COMMISSIONER,35.00,STREETS & SANITATION,4201,MICHAEL,MINI,08/29/2012
2718711094,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,MICHELLE,HARRIS,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
2296075179,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,ROBERT,JOHNSON JR,STAFF,35.00,MAYORS OFFICE,4201,MICHAEL,MINI,08/29/2012
3685403467,01/01/2012,06/30/2012,LUNCH,JACOB,STERN,EXEC. ASST,10.00,FINANCE,3829,THOMAS,COVERICK,10/15/2012
3423597998,04/01/2013,06/30/2013,BREAKFAST ANNUAL MEETING,REILLY,BRENDAN,ALDERMAN,43.00,CITY COUNCIL / ALDERMEN,4200,GERALD,ROPER,07/09/2013
2628868149,01/01/2012,06/30/2012,INVITATION FOR BREAKFAST AT CHAMBER ANNUAL MEETING,DEBORAH,GRAHAM,ALDERMAN,35.00,CITY COUNCIL / ALDERMEN,4201,MICHAEL,MINI,08/29/2012
3725403734,10/01/2019,12/31/2019,INVITATION TO HOSPITAL CEO RETIREMENT PARTY ON NOV. 21. 278 INVITED TOTALLING $46.19 PER PERSON,ALDERMAN,ALL CITY COUNCIL,ALDERMAN,46.19,CITY COUNCIL / ALDERMEN,13621,ARTHUR,WILHELMI,01/15/2020
1855977960,04/01/2016,06/30/2016,N/A,N/A,N/A,N/A,0.00,FINANCE,3820,MORGAN,BASSEY,07/06/2016
538630956,07/01/2015,09/30/2015,LUNCH,WALTER,BURNETT,27TH WARD,129.58,CITY COUNCIL / ALDERMEN,3895,JAMES,SULLIVAN,10/23/2015
615238527,10/01/2015,12/31/2015,BOOK,ED,BURKE,ALD,20.00,CITY COUNCIL / ALDERMEN,4064,WILLIAM,FILAN,01/22/2016
3337111749,01/01/2013,03/31/2013,BREAKFAST,IRA,SILVERSTEIN,ALDERMAN,25.00,CITY COUNCIL / ALDERMEN,4005,MARGARET,HOULIHAN SMITH,07/17/2013
3003602262,10/01/2017,12/31/2017,BAKERY,N/A,N/A,PERMIT COUNTER,12.81,TRANSPORTATION,19186,ROBERT,WILSON,01/20/2018
