Source,Target,Weight
4273,4316,3
4273,4202,2
4273,9382,5
4273,4120,2
4316,4202,3
4316,9382,7
4316,5481,3
4160,3847,7
4160,4246,13
4160,5283,4
3847,4126,3
3847,4246,28
3847,4173,2
3847,18561,6
3847,4288,2
3847,5283,2
4126,4020,2
4126,3890,2
4126,6842,2
4126,4162,2
4126,3744,4
4126,4010,5
4126,12361,2
4126,9481,3
4126,21101,2
4126,3782,2
4126,7481,2
4126,4236,2
4126,20822,2
20603,20223,2
20603,20164,2
20603,18861,2
12721,4020,3
4003,3753,2
4003,4412,2
4003,3808,2
20567,6323,6
4269,4278,6
4269,4178,2
4269,3946,3
4269,3813,3
18822,4278,3
4080,4245,3
24145,23928,4
4169,4157,2
4169,3962,3
4169,3833,23
4169,15081,20
4169,3890,5
4169,6842,9
4169,3744,2
4169,4010,5
4169,4011,12
4169,3753,5
4169,4304,2
4169,9481,3
4169,6321,2
4169,3767,3
4169,4303,2
4169,3931,4
4169,3995,9
3900,6164,3
3900,6221,3
3900,6203,2
3900,6202,3
3900,6825,3
3900,4081,4
3900,7423,2
3900,7461,3
3900,4027,2
3900,6227,2
3900,4001,3
3900,10341,2
5861,3832,2
4069,14282,3
4069,9481,2
6164,6221,2
6164,6202,2
6164,6825,2
6164,4081,3
6164,7423,2
3837,4077,2
3837,4031,2
24739,4084,2
24221,15601,2
24221,16801,2
24221,16662,2
24728,24073,2
14821,14921,2
14821,5322,2
5701,3825,2
18021,4081,2
24915,24922,2
4195,4196,2
16041,4084,2
16041,16042,2
16041,5862,2
4084,5401,4
4084,4209,4
4084,5281,4
4084,16042,2
4084,5862,4
20166,4318,5
20166,4074,5
4318,4074,10
4318,18181,2
4318,4236,9
4318,4267,4
14261,3789,2
3740,4007,2
3740,6842,2
3740,4201,2
3740,6825,2
3740,4081,2
3740,3930,60
3740,3739,61
18701,17201,2
18701,18742,5
18701,18702,5
18701,24746,4
18701,24163,4
18701,4260,4
18701,18703,4
18701,3995,2
18701,18741,4
5964,3744,2
5964,4361,2
5964,3741,4
4074,3912,2
4074,4236,6
4074,4267,6
4157,3890,2
4157,6842,4
4157,3753,2
4157,9481,3
4157,3782,3
4157,4981,2
7422,20526,2
7422,8761,2
18605,24482,2
18605,24483,2
18605,24262,2
18605,24102,2
18605,24484,2
18605,18481,3
18605,24106,2
18605,23827,2
18605,18602,3
18605,18601,3
18605,18604,3
15601,16801,2
15601,16662,2
24482,24483,2
24482,24262,2
24482,24102,2
24482,24484,2
24482,18481,2
24482,24106,2
24482,23827,2
24482,18602,2
24482,18601,2
24482,18604,2
24483,24262,2
24483,24102,2
24483,24484,2
24483,18481,2
24483,24106,2
24483,23827,2
24483,18602,2
24483,18601,2
24483,18604,2
24262,24102,2
24262,24484,2
24262,18481,2
24262,24106,2
24262,23827,2
24262,18602,2
24262,18601,2
24262,18604,2
24102,24484,2
24102,18481,2
24102,24106,2
24102,23827,2
24102,18602,2
24102,18601,2
24102,18604,2
24484,18481,2
24484,24106,2
24484,23827,2
24484,18602,2
24484,18601,2
24484,18604,2
3962,4103,3
3962,15081,2
3962,3890,2
3962,6842,47
3962,3753,2
3962,3782,2
3962,6321,2
4103,3890,3
4103,6842,2
4103,24871,2
4103,3753,5
9621,21101,2
9621,19861,4
9621,3845,19
16002,6561,2
16002,11701,2
4257,4073,2
4257,6842,4
4257,4068,2
4257,9482,2
4257,4030,2
4312,9383,2
4073,3809,2
3862,4301,2
3862,4005,2
3833,15081,19
3833,3890,3
3833,6842,3
3833,4010,5
3833,4011,5
3833,3753,5
3833,9481,7
3833,4094,2
3833,4303,4
3833,3931,2
24321,3893,2
15081,3890,2
15081,6842,4
15081,4010,20
15081,4202,2
15081,4011,6
15081,3753,2
15081,9481,18
15081,6321,2
15081,3767,2
4007,21101,2
4007,3930,2
4007,3739,2
4007,3779,4
4007,19881,2
17201,18742,2
17201,18702,2
17201,24746,2
17201,24163,2
17201,4260,2
17201,18703,2
6221,6203,2
6221,6202,4
6221,6825,3
6221,4081,3
6221,6222,2
6221,7423,3
6221,4001,3
6203,6202,2
6203,4081,2
3826,3877,4
3826,4313,2
4246,20201,2
4246,18561,3
4246,5283,9
3890,6842,60
3890,4010,3
3890,4011,2
3890,3753,3
3890,3782,2
6842,4010,6
6842,4202,2
6842,9743,2
6842,11493,2
6842,4072,2
6842,4011,2
6842,3753,3
6842,4348,3
6842,3782,3
6842,6321,2
6842,7441,2
6842,3767,3
6842,3931,3
6842,3995,2
6842,3779,2
6842,9482,2
3831,16502,2
4162,4723,4
5881,3863,2
24748,4302,2
24748,9961,2
24748,3958,2
24748,8043,2
24748,9241,2
24748,12261,2
18481,24106,2
18481,23827,2
18481,18602,3
18481,18601,3
18481,18604,3
5721,17004,2
3863,4177,3
6202,6825,3
6202,4081,3
6202,6222,2
6202,7423,3
6202,4001,3
3877,3744,2
3877,20343,2
3877,4313,2
24106,23827,2
24106,18602,2
24106,18601,2
24106,18604,2
3744,3905,2
3744,3959,2
4010,4202,2
4010,4011,2
4010,3753,2
4010,9481,32
4010,4055,2
4010,3767,2
4010,3931,6
21841,4624,3
21841,6825,2
21841,4081,2
18742,18702,5
18742,24746,4
18742,24163,4
18742,4260,4
18742,18703,4
18742,3995,2
18742,18741,4
23827,18602,2
23827,18601,2
23827,18604,2
4624,25147,2
4624,25148,2
18702,24746,4
18702,24163,4
18702,4260,4
18702,18703,4
