ID,Label,Count
23981,23981,2
4273,4273,18
4316,4316,53
16161,16161,2
4160,4160,33
3847,3847,147
24628,24628,1
4126,4126,92
24582,24582,1
20603,20603,2
12721,12721,16
16501,16501,11
4003,4003,22
20567,20567,7
4269,4269,9
18822,18822,16
4080,4080,6
12641,12641,2
21521,21521,2
24145,24145,4
23928,23928,5
3795,3795,8
4406,4406,2
24175,24175,2
4333,4333,6
24845,24845,1
10821,10821,3
3851,3851,3
4169,4169,87
22722,22722,1
20561,20561,1
24796,24796,1
3900,3900,8
3857,3857,4
20481,20481,1
24735,24735,1
24876,24876,1
5861,5861,496
4069,4069,33
24671,24671,1
6164,6164,5
22741,22741,2
4397,4397,55
3837,3837,3
4020,4020,32
13761,13761,21
23782,23782,2
24739,24739,2
21846,21846,5
24931,24931,1
3836,3836,26
24221,24221,2
23801,23801,1
24223,24223,1
24728,24728,4
24795,24795,1
24867,24867,1
14821,14821,4
22783,22783,1
6405,6405,2
5701,5701,4
18021,18021,2
17521,17521,2
25106,25106,1
24915,24915,2
24922,24922,2
24718,24718,1
18901,18901,2
4195,4195,8
16041,16041,3
25029,25029,1
4084,4084,12
20166,20166,5
24403,24403,1
4318,4318,25
6781,6781,1
14261,14261,2
24083,24083,1
6161,6161,4
3740,3740,83
18701,18701,5
5964,5964,38
23361,23361,2
4074,4074,32
4157,4157,115
24811,24811,2
7402,7402,8
24074,24074,2
14103,14103,12
7422,7422,5
18605,18605,3
20526,20526,3
15601,15601,2
24482,24482,2
24483,24483,2
23701,23701,1
24262,24262,2
24102,24102,2
24484,24484,2
3962,3962,82
4103,4103,24
9621,9621,88
16002,16002,15
4257,4257,18
25050,25050,1
4189,4189,3
16202,16202,2
24927,24927,1
24803,24803,1
15501,15501,1
4312,4312,5
4073,4073,5
18782,18782,1
24918,24918,1
4070,4070,6
3862,3862,2
13621,13621,1
15261,15261,1
3833,3833,81
24321,24321,3
15081,15081,89
4007,4007,71
17201,17201,26
6221,6221,4
3893,3893,12
3895,3895,3
6203,6203,4
23522,23522,1
24085,24085,1
3826,3826,5
24814,24814,1
24485,24485,4
4246,4246,157
3890,3890,89
6842,6842,189
3831,3831,12
4162,4162,37
5881,5881,2
14282,14282,4
3752,3752,34
24748,24748,2
24743,24743,1
18481,18481,3
5721,5721,18
3863,3863,15
6202,6202,4
3877,3877,25
24741,24741,1
24901,24901,2
9601,9601,7
24106,24106,2
24911,24911,1
3744,3744,55
4010,4010,98
21841,21841,4
18742,18742,6
23827,23827,2
21002,21002,2
4624,4624,19
18702,18702,5
24261,24261,1
24746,24746,4
24163,24163,4
10901,10901,4
23424,23424,10
18602,18602,3
4260,4260,5
18601,18601,3
23826,23826,1
13241,13241,3
4301,4301,5
4202,4202,102
9743,9743,27
20201,20201,27
11493,11493,24
24871,24871,3
4072,4072,31
4011,4011,35
4155,4155,29
5127,5127,2
25003,25003,1
19001,19001,126
23481,23481,1
4068,4068,74
25004,25004,1
19002,19002,123
4201,4201,3
4298,4298,14
24707,24707,1
24884,24884,15
3912,3912,7
4082,4082,2
24022,24022,2
3754,3754,22
3735,3735,5
3753,3753,214
20343,20343,18
11485,11485,1
11241,11241,12
13202,13202,99
4304,4304,35
24765,24765,1
5201,5201,1
9082,9082,13
23883,23883,2
23861,23861,3
4348,4348,107
12361,12361,5
4116,4116,26
25013,25013,1
4067,4067,17
24783,24783,1
23121,23121,1
25045,25045,1
25048,25048,1
25021,25021,1
16801,16801,3
22001,22001,9
24764,24764,1
25028,25028,1
6082,6082,3
24643,24643,2
24830,24830,2
3964,3964,1
3960,3960,2
4723,4723,4
3985,3985,27
9481,9481,74
24863,24863,1
6561,6561,18
25008,25008,2
20282,20282,19
8162,8162,33
14641,14641,29
17701,17701,13
24969,24969,1
18604,18604,3
11701,11701,46
6825,6825,41
24910,24910,1
4239,4239,11
21101,21101,10
4081,4081,49
25082,25082,1
24381,24381,1
15721,15721,6
19861,19861,30
3989,3989,10
3782,3782,70
3955,3955,3
3824,3824,10
19381,19381,6
24773,24773,1
6104,6104,14
25023,25023,1
24967,24967,1
18421,18421,7
13282,13282,26
25025,25025,1
24729,24729,1
24878,24878,1
25024,25024,1
24171,24171,1
12861,12861,4
25081,25081,1
24310,24310,1
9041,9041,1
22781,22781,1
22322,22322,3
4173,4173,14
24924,24924,1
24779,24779,1
22141,22141,1
10921,10921,17
8961,8961,2
24966,24966,1
23942,23942,1
20547,20547,1
18461,18461,2
24909,24909,1
3845,3845,134
12521,12521,2
15423,15423,3
4203,4203,2
11381,11381,6
4193,4193,54
16541,16541,3
24503,24503,1
21802,21802,1
4065,4065,2
24763,24763,2
20841,20841,5
4055,4055,25
25052,25052,1
24720,24720,2
24073,24073,4
24968,24968,1
14081,14081,30
4052,4052,14
6323,6323,13
15424,15424,3
4278,4278,29
15425,15425,3
3996,3996,5
5967,5967,5
23941,23941,1
18561,18561,35
21261,21261,3
18181,18181,32
24563,24563,2
20641,20641,2
24644,24644,1
3905,3905,3
24778,24778,1
3991,3991,5
22901,22901,1
4094,4094,53
24904,24904,1
24698,24698,1
24609,24609,1
24742,24742,1
24679,24679,1
18883,18883,8
14921,14921,43
14481,14481,7
24887,24887,1
25046,25046,1
24692,24692,1
20581,20581,1
11941,11941,1
16542,16542,2
24861,24861,2
23828,23828,1
23501,23501,1
24784,24784,1
18703,18703,4
21844,21844,1
9383,9383,4
24780,24780,1
3825,3825,8
24734,24734,1
6163,6163,4
24323,24323,1
4013,4013,2
24766,24766,1
23943,23943,2
23621,23621,2
24302,24302,1
19481,19481,1
16081,16081,2
24423,24423,1
9382,9382,29
13701,13701,1
4180,4180,11
13781,13781,2
12241,12241,3
24313,24313,1
24785,24785,1
18281,18281,2
4214,4214,1
24103,24103,1
17901,17901,2
10801,10801,2
23902,23902,1
22261,22261,1
4219,4219,25
23141,23141,1
24164,24164,1
18282,18282,2
20801,20801,3
3899,3899,13
24699,24699,1
24961,24961,1
13961,13961,2
13381,13381,2
11721,11721,5
3896,3896,3
24314,24314,1
24840,24840,1
19902,19902,1
18362,18362,1
16021,16021,3
22204,22204,1
22961,22961,5
19904,19904,1
16662,16662,2
24865,24865,1
24674,24674,1
24730,24730,1
22203,22203,1
22181,22181,1
24721,24721,1
4064,4064,22
24727,24727,1
4019,4019,7
24747,24747,1
4341,4341,4
24722,24722,1
8201,8201,1
3743,3743,23
24842,24842,1
4302,4302,3
24786,24786,1
24642,24642,1
24963,24963,1
