Id,Label,timeset,count,modularity_class,clustering,triangles,eigencentrality
4273,4273,,18,0,0.166667,1,0.066988
4316,4316,,53,0,0.333333,1,0.064976
4202,4202,,102,0,0.043956,4,0.447288
9382,9382,,29,0,0,0,0.012739
4120,4120,,3,0,0,0,0.009611
5481,5481,,9,0,0,0,0.012284
4160,4160,,33,2,0,0,0.002941
3847,3847,,147,2,0.166667,1,0.05138
4246,4246,,157,1,0,0,0.003926
5283,5283,,12,2,0,0,0.010051
4126,4126,,92,4,0.032967,3,0.315027
4173,4173,,14,2,1,1,0.014019
18561,18561,,35,1,0,0,0.003926
4288,4288,,9,2,0.333333,1,0.032387
4020,4020,,32,4,0,0,0.041363
3890,3890,,89,6,0.363636,20,0.438619
6842,6842,,189,3,0.077922,18,0.643749
4162,4162,,37,4,0,0,0.041363
3744,3744,,55,4,0,0,0.099173
4010,4010,,98,13,0.305556,11,0.358092
12361,12361,,5,4,0,0,0.043654
9481,9481,,74,18,0.055556,2,0.229646
21101,21101,,10,36,0.166667,1,0.070525
3782,3782,,70,32,0.138889,5,0.440517
7481,7481,,2,4,0,0,0.039298
4236,4236,,20,26,0,0,0.044625
20822,20822,,3,4,0,0,0.039298
20603,20603,,2,5,1,3,0.01092
20223,20223,,2,5,1,3,0.01092
20164,20164,,2,5,1,3,0.01092
18861,18861,,2,5,1,3,0.01092
12721,12721,,16,4,0,0,0.006318
4003,4003,,22,7,0,0,0.056195
3753,3753,,214,6,0.348485,23,0.451743
4412,4412,,2,7,0,0,0.00788
3808,3808,,2,7,0,0,0.00788
20567,20567,,7,8,0,0,0
6323,6323,,13,9,0,0,0
4269,4269,,9,10,0,0,0.006947
4278,4278,,29,10,0,0,0.006947
4178,4178,,2,10,0,0,0.003011
3946,3946,,13,10,0,0,0.005529
3813,3813,,5,10,0,0,0.006022
18822,18822,,16,10,0,0,0.003011
4080,4080,,6,11,0,0,0.001558
4245,4245,,4,11,0,0,0.001558
24145,24145,,4,12,0,0,0.001558
23928,23928,,5,12,0,0,0.001558
4169,4169,,87,6,0.166667,11,0.379802
4157,4157,,115,6,0.333333,7,0.303777
3962,3962,,82,6,0.47619,10,0.301632
3833,3833,,81,13,0.464286,13,0.321683
15081,15081,,89,3,0.380952,8,0.337415
4011,4011,,35,13,0.254545,14,0.369867
4304,4304,,35,34,0.066667,1,0.079499
6321,6321,,12,3,0.142857,3,0.38956
3767,3767,,15,13,0.333333,5,0.269852
4303,4303,,13,13,0.5,3,0.145486
3931,3931,,24,3,0.333333,2,0.184883
3995,3995,,18,18,0.266667,4,0.22977
3900,3900,,8,14,0.409091,27,0.544208
6164,6164,,5,14,0.933333,14,0.408746
6221,6221,,4,14,0.694444,25,0.505627
6203,6203,,4,14,1,6,0.265212
6202,6202,,4,14,0.694444,25,0.505627
6825,6825,,41,15,0.07,21,0.855423
4081,4081,,49,16,0.063492,24,0.903456
7423,7423,,4,14,0.678571,19,0.469384
7461,7461,,9,14,0.7,7,0.323501
4027,4027,,2,14,0,0,0.058514
6227,6227,,2,14,1,3,0.192516
4001,4001,,7,14,0.555556,20,0.479803
10341,10341,,3,14,0,0,0.058514
5861,5861,,496,17,0,0,0.001558
3832,3832,,4,17,0,0,0.001558
4069,4069,,33,18,0,0,0.030172
14282,14282,,4,18,0,0,0.005
3837,3837,,3,19,1,1,0.004774
4077,4077,,18,19,1,1,0.004774
4031,4031,,2,19,1,1,0.004774
24739,24739,,2,25,0,0,0.00907
4084,4084,,12,25,0.428571,9,0.041729
24221,24221,,2,20,1,3,0.01092
15601,15601,,2,20,1,3,0.01092
16801,16801,,3,20,1,3,0.01092
16662,16662,,2,20,1,3,0.01092
