Source,Target,Weight
4273,4316,3
4273,9382,5
4316,4202,3
4316,9382,7
4316,5481,3
4160,3847,7
4160,4246,13
4160,5283,4
3847,4126,3
3847,4246,28
3847,18561,6
4126,3744,4
4126,4010,5
4126,9481,3
12721,4020,3
20567,6323,6
4269,4278,6
4269,3946,3
4269,3813,3
18822,4278,3
4080,4245,3
24145,23928,4
4169,3962,3
4169,3833,23
4169,15081,20
4169,3890,5
4169,6842,9
4169,4010,5
4169,4011,12
4169,3753,5
4169,9481,3
4169,3767,3
4169,3931,4
4169,3995,9
3900,6164,3
3900,6221,3
3900,6202,3
3900,6825,3
3900,4081,4
3900,7461,3
3900,4001,3
4069,14282,3
6164,4081,3
4084,5401,4
4084,4209,4
4084,5281,4
4084,5862,4
20166,4318,5
20166,4074,5
4318,4074,10
4318,4236,9
4318,4267,4
3740,3930,60
3740,3739,61
18701,18742,5
18701,18702,5
18701,24746,4
18701,24163,4
18701,4260,4
18701,18703,4
18701,18741,4
5964,3741,4
4074,4236,6
4074,4267,6
4157,6842,4
4157,9481,3
4157,3782,3
18605,18481,3
18605,18602,3
18605,18601,3
18605,18604,3
3962,4103,3
3962,6842,47
4103,3890,3
4103,3753,5
9621,19861,4
9621,3845,19
4257,6842,4
3833,15081,19
3833,3890,3
3833,6842,3
3833,4010,5
3833,4011,5
3833,3753,5
3833,9481,7
3833,4303,4
15081,6842,4
15081,4010,20
15081,4011,6
15081,9481,18
4007,3779,4
6221,6202,4
6221,6825,3
6221,4081,3
6221,7423,3
6221,4001,3
3826,3877,4
4246,18561,3
4246,5283,9
3890,6842,60
3890,4010,3
3890,3753,3
6842,4010,6
6842,3753,3
6842,4348,3
6842,3782,3
6842,3767,3
6842,3931,3
4162,4723,4
18481,18602,3
18481,18601,3
18481,18604,3
3863,4177,3
6202,6825,3
6202,4081,3
6202,7423,3
6202,4001,3
4010,9481,32
4010,3931,6
21841,4624,3
18742,18702,5
18742,24746,4
18742,24163,4
18742,4260,4
18742,18703,4
18742,18741,4
18702,24746,4
18702,24163,4
18702,4260,4
18702,18703,4
18702,18741,4
24746,24163,4
24746,4260,4
24746,18703,4
24746,18741,3
24163,4260,4
24163,18703,4
24163,18741,3
10901,4228,4
18602,18601,3
18602,18604,3
4260,18703,4
4260,18741,3
18601,18604,3
4301,4005,4
4202,4068,3
4202,11241,3
4202,4348,17
4202,4116,12
4202,9382,10
4202,3881,3
9743,11493,22
9743,4072,25
11493,4072,21
4011,9481,4
4011,3767,5
4011,4303,5
19001,3925,6
4068,20282,19
4068,14081,26
4068,3809,25
4068,11942,21
4068,4030,7
3754,3821,7
11241,4348,6
11241,4116,4
4348,4116,16
4348,3881,7
9481,4055,4
9481,3995,3
6561,14641,3
6561,3782,6
20282,14081,8
20282,3809,6
20282,11942,8
8162,6104,6
8162,4019,3
8162,3743,10
8162,3864,6
8162,20528,4
14641,3782,5
17701,4236,3
11701,3782,10
11701,4193,3
6825,4081,35
6825,18181,15
6825,22961,5
6825,14741,4
6825,13702,13
6825,7423,3
6825,7461,3
6825,14942,3
6825,4001,4
6825,12961,5
6825,25187,4
4081,18181,15
4081,22961,4
4081,14741,3
4081,13702,14
4081,7423,3
4081,7461,3
4081,14942,3
4081,4276,3
4081,6843,3
4081,4338,4
4081,12961,5
4081,25187,4
19861,3845,11
3782,10921,4
6104,3743,3
4173,4094,6
4173,4288,5
15423,15424,3
15423,15425,3
4193,14921,29
14081,3809,5
14081,11942,10
14081,4030,4
4052,3899,11
4052,4168,3
15424,15425,3
4278,3946,9
4278,3813,5
5967,5105,3
18181,13702,6
4094,4288,5
18703,18741,3
3899,4168,3
16021,14042,3
22961,25187,3
4019,3743,3
3743,3864,6
3743,20528,4
4302,3958,3
16601,20362,7
16601,20083,4
5401,5281,3
3930,3739,61
7441,3779,4
14741,13702,3
4078,3811,4
4096,3827,3
13702,12961,4
4236,4267,4
3767,3995,3
20362,20083,3
6522,4319,3
3809,11942,8
3809,4030,4
11942,4030,3
4825,3871,3
4177,3942,5
7461,4001,3
4209,5281,3
5281,5862,3
16042,5862,3
3908,4001,3
4360,7381,3
4000,4329,3
