ID,Label,Count of Contributions
23981,ALEXANDRA SIMS,2
4273,JACK PARRINO,18
4316,BERNARD CITRON,53
16161,TERRY CORNELL,2
4160,EDWARD KUS,33
3847,GRAHAM GRADY,147
24628,LEDY VANKAVAGE,1
4126,MICHAEL ALVAREZ,92
24582,GINA CARUSO,1
20603,MELIA CARTER,2
12721,JORDAN MATYAS,16
16501,REYAHD KAZMI,11
4003,SCOTT SAEF,22
20567,LINDSAY ANDERSON,7
4269,PEDRO CERVANTES,9
18822,JOHN ESCOBAR,16
4080,SAMUEL POLSKY,6
12641,JON ROSENBLATT,2
21521,JONAH SIEGELLAK,2
24145,TOM GRAY,4
23928,JAMES SHEAHAN,5
3795,JOHN O'CONNELL,8
4406,TED HAMER,2
24175,FREDERICK SMITH,2
4333,CLINT BROWN,6
24845,DANIELLA PEREIRA,1
10821,JAMES WATSON,3
3851,TIMOTHY TAYLOR,3
4169,MARIAH DIGRINO,87
22722,CRYSTAL OLSEN,1
20561,JAMES LASKI,1
24796,STACY MOORE,1
3900,NICOLAS CLOCHARD-BOSSUET,8
3857,ROBERT REPEL,4
20481,DEBBIE LAKAMP,1
24735,JOHN BALDWIN,1
24876,RACHEL DELEVIE-OREY,1
5861,THOMAS MOORE,496
4069,STEVEN FRIEDLAND,33
24671,JUDY GOLD,1
6164,GABRIELLE BRUSSEL,5
22741,DAVID CUSHING,2
4397,WARREN SILVER,55
3837,MICHAEL CIACCIO,3
4020,JAY DOHERTY,32
13761,MICHAEL AXELROD,21
23782,ALAN ALLEGRETTO,2
24739,MICHAEL MIAZGA,2
21846,CURT FIEDLER,5
24931,FARZIN PARANG,1
3836,JOHN DOERRER,26
24221,KELLY EICKENHORST,2
23801,JILL RITCHIE,1
24223,ALLISON CLEMENTS,1
24728,KENNETH SAWYER,4
24795,LINDSAY SEMPH,1
24867,KRISTINA HAMILTON,1
14821,JAY CURTIS,4
22783,MICHAEL JACOBSON,1
6405,KARA SALGADO,2
5701,PAUL WILLIAMS,4
18021,JOHN HARRIS,2
17521,STEVE ABBEY,2
25106,KIN WONG,1
24915,LARRY LUSTER,2
24922,ART TURNER,2
