Source,Target,Weight
JASON ERVIN,FRIENDS OF WALTER BURNETT,3
JASON ERVIN,FRIENDS OF LESLIE HAIRSTON,3
JASON ERVIN,FRIENDS OF ED BURKE,3
JASON ERVIN,CARRIE AUSTIN,3
VILLEGAS FOR COMMITTEEPERSON,HOPKINS FOR CHICAGO,3
FRIENDS OF MICHAEL RODRIGUEZ,FRIENDS OF GILBERT VILLEGAS,3
FRIENDS OF MICHAEL RODRIGUEZ,HOPKINS FOR CHICAGO,3
FRIENDS OF MICHAEL RODRIGUEZ,CITIZENS FOR ERVIN,3
FRIENDS OF MICHAEL RODRIGUEZ,CITIZENS FOR WAGUESPACK,4
FRIENDS OF MICHAEL RODRIGUEZ,CITIZENS FOR JOE MOORE,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF RODERICK SAWYER,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF MICHELLE A. HARRIS,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS FOR DEBRA SILVERSTEIN,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF SUSAN SADLOWSKI GARZA,4
FRIENDS OF GILBERT VILLEGAS,HOPKINS FOR CHICAGO,11
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR ERVIN,6
FRIENDS OF GILBERT VILLEGAS,"FRIENDS OF WALTER BURNETT, JR.",4
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF ANTHONY NAPOLITANO,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF SAMANTHA NUGENT,6
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF CARRIE AUSTIN,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF LESLIE A. HAIRSTON,5
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR REILLY,5
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR PAT DOWELL,6
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR MICHELLE HARRIS,4
FRIENDS OF GILBERT VILLEGAS,CITIZENS TO ELECT EMMA MITTS,6
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR TUNNEY,6
FRIENDS OF GILBERT VILLEGAS,MICHAEL SCOTT,3
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR WAGUESPACK,5
FRIENDS OF GILBERT VILLEGAS,CITIZENS TO ELECT ANTHONY BEALE,5
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR MALDONADO,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF SOPHIA KING,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF MICHELE SMITH,6
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF MATT O'SHEA,8
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,3
FRIENDS OF GILBERT VILLEGAS,NEIGHBORS FOR DANIEL LA SPATA,3
FRIENDS OF GILBERT VILLEGAS,CITIZENS TO ELECT DAVID MOORE,4
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF WALTER BURNETT,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF GEORGE CARDENAS,6
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF RODERICK T. SAWYER,9
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR ALDERMAN REILLY,4
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF LESLIE HAIRSTON,3
FRIENDS OF GILBERT VILLEGAS,NEIGHBORS FOR HARRY OSTERMAN,3
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR JOE MOORE,8
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF RAYMOND LOPEZ,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF NICHOLAS SPOSATO,4
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF EDWARD M. BURKE,6
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF RAYMOND A. LOPEZ,3
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR CAPPLEMAN,7
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF MICHELLE HARRIS,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF PATRICK D. THOMPSON,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF GREG MITCHELL,4
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF GEORGE A. CARDENAS,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF CARRIE M. AUSTIN,3
FRIENDS OF GILBERT VILLEGAS,CITIZENS FOR MICHAEL SCOTT JR.,3
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF TABARES,3
FRIENDS OF RODERICK SAWYER,FRIENDS OF LESLIE A HAIRSTON,3
FRIENDS OF RODERICK SAWYER,FRIENDS FOR DEBRA SILVERSTEIN,3
FRIENDS OF RODERICK SAWYER,FRIENDS OF SUSAN SADLOWSKI GARZA,3
FRIENDS OF RODERICK SAWYER,HOPKINS FOR CHICAGO,5
FRIENDS OF RODERICK SAWYER,CITIZENS FOR ERVIN,5
FRIENDS OF RODERICK SAWYER,"FRIENDS OF WALTER BURNETT, JR.",3
FRIENDS OF RODERICK SAWYER,FRIENDS OF SAMANTHA NUGENT,4
