ID,Label,Count of Contributions
ALDERMAN MARIA HADDEN,ALDERMAN MARIA HADDEN,1
24TH WARD ORGANIZATION - ALD. MICHAEL SCOTT,24TH WARD ORGANIZATION - ALD. MICHAEL SCOTT,1
ALD. GILBERT VILLEGAS,ALD. GILBERT VILLEGAS,1
JASON ERVIN,JASON ERVIN,8
VILLEGAS FOR COMMITTEEPERSON,VILLEGAS FOR COMMITTEEPERSON,4
FRIENDS OF MICHAEL RODRIGUEZ,FRIENDS OF MICHAEL RODRIGUEZ,5
FRIENDS OF GILBERT VILLEGAS,FRIENDS OF GILBERT VILLEGAS,18
FRIENDS OF RODERICK SAWYER,FRIENDS OF RODERICK SAWYER,13
FRIENDS OF LESLIE A HAIRSTON,FRIENDS OF LESLIE A HAIRSTON,6
ALDERMAN RODERICK SAWYER,ALDERMAN RODERICK SAWYER,3
ALDERMAN BYRON SIGCHO LOPEZ,ALDERMAN BYRON SIGCHO LOPEZ,1
CITIZENS FOR JASON C. ERVIN,CITIZENS FOR JASON C. ERVIN,1
DEBRA SILVERSTEIN,DEBRA SILVERSTEIN,7
LESLIE HAIRSTON,LESLIE HAIRSTON,7
TOM TUNNEY,TOM TUNNEY,4
FRIENDS OF RODRIGUEZ,FRIENDS OF RODRIGUEZ,1
FRIENDS OF MICHELLE A. HARRIS,FRIENDS OF MICHELLE A. HARRIS,5
EMMA MITTS,EMMA MITTS,6
FRIENDS FOR DEBRA SILVERSTEIN,FRIENDS FOR DEBRA SILVERSTEIN,10
ALDERMAN HOWARD BROOKINS,ALDERMAN HOWARD BROOKINS,2
FRIENDS OF SUSAN SADLOWSKI GARZA,FRIENDS OF SUSAN SADLOWSKI GARZA,14
HOPKINS FOR CHICAGO,HOPKINS FOR CHICAGO,53
"COMMITTEE TO ELECT HOWARD B BROOKINS, JR","COMMITTEE TO ELECT HOWARD B BROOKINS, JR",2
CITIZENS TO ELECT FELIX CARDONA JR,CITIZENS TO ELECT FELIX CARDONA JR,2
CITIZENS FOR ERVIN,CITIZENS FOR ERVIN,28
ALDERMAN JASON ERVIN,ALDERMAN JASON ERVIN,9
COMM TO ELECT BROOKINS,COMM TO ELECT BROOKINS,1
MICHAEL SCOTT - 24TH WARD ALDERMAN,MICHAEL SCOTT - 24TH WARD ALDERMAN,1
GILBERT VILLEGAS,GILBERT VILLEGAS,6
MATT MARTIN,MATT MARTIN,4
BRIAN HOPKINS,BRIAN HOPKINS,11
"FRIENDS OF WALTER BURNETT, JR.","FRIENDS OF WALTER BURNETT, JR.",15
MARIA HADDEN,MARIA HADDEN,3
FRIENDS OF ANTHONY NAPOLITANO,FRIENDS OF ANTHONY NAPOLITANO,6
FRIENDS OF STEPHANIE COLEMAN,FRIENDS OF STEPHANIE COLEMAN,10
FRIENDS OF CHRIS TALIAFERRO,FRIENDS OF CHRIS TALIAFERRO,6
FRIENDS OF SAMANTHA NUGENT,FRIENDS OF SAMANTHA NUGENT,19
FRIENDS OF CARRIE AUSTIN,FRIENDS OF CARRIE AUSTIN,23
"CITIZENS FOR MICHAEL SCOTT, JR.","CITIZENS FOR MICHAEL SCOTT, JR.",10
FRIENDS OF LESLIE A. HAIRSTON,FRIENDS OF LESLIE A. HAIRSTON,15
CITIZENS FOR REILLY,CITIZENS FOR REILLY,36
CITIZENS FOR PAT DOWELL,CITIZENS FOR PAT DOWELL,24
CITIZENS FOR MICHELLE HARRIS,CITIZENS FOR MICHELLE HARRIS,8
CITIZENS TO ELECT EMMA MITTS,CITIZENS TO ELECT EMMA MITTS,18
CITIZENS FOR TUNNEY,CITIZENS FOR TUNNEY,35
COMMITTEE TO ELECT BROOKINS,COMMITTEE TO ELECT BROOKINS,2
FRIENDS OF WALTER BURNETT JR.,FRIENDS OF WALTER BURNETT JR.,12
FRIENDS OF EMMA MITTS,FRIENDS OF EMMA MITTS,2
CITIZENS FOR DEBRA SILVERSTEIN,CITIZENS FOR DEBRA SILVERSTEIN,2
MICHAEL SCOTT,MICHAEL SCOTT,6
ALD. HOWARD BROOKINS,ALD. HOWARD BROOKINS,1
MICHAEL RODRIGUEZ,MICHAEL RODRIGUEZ,6
CITIZENS FOR ANDRE VASQUEZ,CITIZENS FOR ANDRE VASQUEZ,1
ALD. MATT MARTIN,ALD. MATT MARTIN,1
FRIENDS OF BYRON SIGCHO LOPEZ,FRIENDS OF BYRON SIGCHO LOPEZ,2
COMMITTEE TO ELECT HOWARD B. BROOKINS JR.,COMMITTEE TO ELECT HOWARD B. BROOKINS JR.,1
CITIZENS FOR MICHAEL SCOTT,CITIZENS FOR MICHAEL SCOTT,5
"FRIENDS OF WALTER BURNETT, JR","FRIENDS OF WALTER BURNETT, JR",5
FRIENDS OF MATT MARTIN,FRIENDS OF MATT MARTIN,5
CITIZENS FOR WAGUESPACK,CITIZENS FOR WAGUESPACK,27
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS TO ELECT ANTHONY BEALE,18
"CITIZENS FOR TUNNEY (COMMITTEE ID: 17150) MADE BY AIRBNB, INC.","CITIZENS FOR TUNNEY (COMMITTEE ID: 17150) MADE BY AIRBNB, INC.",1
"CITIZENS TO ELECT FELIX CARDONA, JR.","CITIZENS TO ELECT FELIX CARDONA, JR.",1
FRIENDS OF MICHAEL D. RODRIGUEZ,FRIENDS OF MICHAEL D. RODRIGUEZ,4
CITIZENS FOR MALDONADO,CITIZENS FOR MALDONADO,11
FRIENDS OF SOPHIA KING,FRIENDS OF SOPHIA KING,15
"CITIZENS TO ELECT EMMA MITTS (COMMITTEE ID: 15622) MADE BY AIRBNB, INC.","CITIZENS TO ELECT EMMA MITTS (COMMITTEE ID: 15622) MADE BY AIRBNB, INC.",1
"CITIZENS FOR ALDERMAN MICHAEL SCOTT, JR.","CITIZENS FOR ALDERMAN MICHAEL SCOTT, JR.",2
FRIENDS OF MICHELE SMITH,FRIENDS OF MICHELE SMITH,28
FRIENDS OF MATT O'SHEA,FRIENDS OF MATT O'SHEA,28
ALD. SCOTT WAGUESPACK,ALD. SCOTT WAGUESPACK,2
ALD ANDRE VASQUEZ,ALD ANDRE VASQUEZ,1
ALD MICHAEL RODRIGUEZ,ALD MICHAEL RODRIGUEZ,1
ANDRE VASQUEZ,ANDRE VASQUEZ,4
ALD BYRON SIGCHO LOPEZ,ALD BYRON SIGCHO LOPEZ,1
HARRY OSTERMAN,HARRY OSTERMAN,2
CITIZENS ALDERMAN MICHAEL SCOTT JR.,CITIZENS ALDERMAN MICHAEL SCOTT JR.,1
"MICHAEL SCOTT, JR.","MICHAEL SCOTT, JR.",1
MELISSA CONYEARS ERVIN,MELISSA CONYEARS ERVIN,2
ALDERMAN SCOTT,ALDERMAN SCOTT,1
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,7
FRIENDS OF MICHAEL D RODRIGUEZ,FRIENDS OF MICHAEL D RODRIGUEZ,4
NEIGHBORS FOR DANIEL LA SPATA,NEIGHBORS FOR DANIEL LA SPATA,3
