Source,Target,Weight
24,36,16
24,28,27
24,22,9
24,6,22
24,5,22
24,15,18
24,50,15
24,44,20
24,8,21
24,37,20
24,21,15
24,10,14
24,2,23
24,31,6
24,47,4
24,27,23
24,41,5
24,16,5
24,29,10
24,39,12
24,34,23
24,42,24
24,3,15
24,40,4
24,32,17
24,9,19
24,26,6
24,4,11
24,43,19
24,19,15
24,48,11
24,1,4
24,17,22
24,30,13
24,12,22
24,11,21
24,38,6
24,46,16
24,14,16
24,18,6
24,7,4
24,13,3
24,23,4
36,28,21
36,22,10
36,6,18
36,5,14
36,15,17
36,50,13
36,44,15
36,8,15
36,37,13
36,21,11
36,10,13
36,2,20
36,31,7
36,47,4
36,27,13
36,41,3
36,16,5
36,29,5
36,39,11
36,34,19
36,42,15
36,3,11
36,40,4
36,32,12
36,9,11
36,26,4
36,4,10
36,43,13
36,19,13
36,48,7
36,1,3
36,17,20
36,30,7
36,12,21
36,11,14
36,38,6
36,46,11
36,14,18
36,18,7
36,7,4
36,23,4
28,22,12
28,6,20
28,5,22
28,15,23
28,50,17
28,44,24
28,8,22
28,37,21
28,21,20
28,10,14
28,2,27
28,31,5
28,47,4
28,27,32
28,41,6
28,16,7
28,29,8
28,39,13
28,34,26
28,42,27
28,3,17
28,40,6
28,32,18
28,9,17
28,26,9
28,4,10
28,43,23
28,19,17
28,48,15
28,1,3
28,17,22
28,30,13
28,12,21
28,11,23
28,38,9
28,46,20
28,14,22
28,18,9
28,7,4
28,23,4
22,6,13
22,5,7
22,15,7
22,50,7
22,44,8
22,8,6
22,37,6
22,21,5
22,10,8
22,2,8
22,31,4
22,27,9
22,16,4
22,29,3
22,39,6
22,34,8
22,42,6
22,3,7
22,40,4
22,32,9
22,9,5
22,26,3
22,4,4
22,43,7
22,19,7
22,48,3
22,1,3
22,17,7
22,30,5
22,12,9
22,11,8
22,38,4
22,46,4
22,14,6
22,18,4
6,5,23
6,15,14
6,50,14
6,44,19
6,8,20
6,37,15
6,21,16
